President,Year,Party,Role,Intelligence Leader,Publication Title,Sentence,Sentiment
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China Aerospace S&T Corporation (CASC), directed by Wang Liheng, is an offshoot of the former China Aerospace Corporation.",-0.031863894
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The China Aerospace Electromechanical Group (Hangtian Jidian Jituan) includes the Second and Third Academies and the and Bases.,-0.010800317
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"There seems to be a debate within the PLA on control of China's future space architecture, pitting GAD against the Second Artillery.",-0.11508481
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"This conclusion is drawn from ONI's study, ""Chinese Space-Based Remote Sensing Programs and Ground-Based Processing Capabilities,"" discussed in Jefferey Richelson, ""Navy Says China Poised To Close Space-Intel Gap,"" Defense Week, Feb , p. .",0.06610241
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Data collected by China's airborne SAR remote sensing platform can be transmitted real time to a ground station that is within km of the aircraft.,0.10363675
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The PLA is responsible for oversight of space and laser components of the Program.,-0.0632598
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See Wang Wei, ""State S&T Organs Approve Design of Spaceborne Synthetic Aperture Radar,"" Zhongguo Kexue Bao (China Science News), May , in FBIS-CST- - ; ""Woguo Xingzai Hecheng Kongjing Leida Yingyong Yanjiu Qude Zhongda Jinzhan, (China's Satellite SAR Applied Research Achieves Tremendous Advances), Zhongguo Hangtian, Feb , p. ; ""Spaceborne- SAR Modern Information Technology Highlighted,"" Zhongguo Kexue Bao, Sep , p. , in FBIS- CST- - ; Yuan Xiaokang, ""High Speed Data Transmission of Satellite-borne SAR,"" Zhidao Yu Yinxin (Guidance and Detonators), ( ), pp. - .",-0.028431647
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"( th RI), summarized in China Astronautics and Missilery Abstracts (CAMA), Vol. , No. .",-0.01113373
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"""Application of Radar Satellites,"" Aerospace China, Nov , p. .",-0.021440182
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"For comments on preliminary research on the second-generation SAR satellite, see ""China's Microwave-Imaging Radar Systems Engineering Highlighted,"" Zhongguo Kexue Bao, Sep , p. , in FBIS-CST- - .",-0.0033317246
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Zhang Wanzeng is assigned to the PLA GSD Second Department's Technology Bureau.,-0.008845013
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Huang Weigen, Zhou Changbao, and Wan Zhongling, ""Woguo Xingzai SAR Haiyang Yingyong de Xianzhuang yu Xuqiu,"" (Current State and Requirements of China's Satellite-borne SAR for Maritime Applications), in Zhongguo Hangtian, Dec , pp. - .",-0.027634291
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China began exploration of space-based SAR systems for antisubmarine warfare purposes in the th Five-Year Program ( - ).,0.025569618
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"As a side note, a US Los Alamos employee under contract for TRW was arrested in May for providing the Chinese information on a classified project he was working on with regards to SAR satellite imaging of submarines.",-0.50155246
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See Stokes, China Strategic Modernization, p. .",-0.026567891
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Also see Chou Kuan-wu, ""China's Reconnaissance Satellites,"" Kuang Chiao Ching, Mar , pp. - , in FBIS-CHI- - .",-0.013170905
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China's remote-sensing program is funded at least in part by the Program, specifically the - project.",0.07205899
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See ""China To Launch Ten More Satellites by ,"" Xinhua, Feb , in FBIS-CHI- - .",0.011601344
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Fadongji Sheji Yu Yanjiu (Solid Rocket Engine Design and Research), Apr , pp. - , in CAMA, , Vol. , No. ; and Zhang Song, ""Design and Optimization of Solid Launch Vehicle Trajectory,"" Guti Huojian Jishu, , ( ), pp. - ; and Zhang Dexiong, ""China's Development Concept for Small Solid Launch Vehicles,"" CASC Fourth Academy Information Research Reports, the Fourth Edition, October , pp. - , in CAMA, Vol. , No. .",-0.013296384
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Jefferey Richelson, ""Navy Says China Poised To Close Space-Intel Gap,"" Defense Week, Feb , p. .",0.056461293
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Mei Lin, PLA Methods of Operations Assessed,"" Chung Kung Yen Chiu, Nov , No. , pp. - , in FBIS/China, / / .",-0.04698914
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"""Wo Weixing Yaogan Tuxiang Shuzihua Shebei Shijie Lingxian"" (Our Satellite Remote Sensing Digitized Imagery Equipment Leads the World), Zhongguo Hangtian, Jan , p. ; also see ""China's Satellite Remote Sensing Image Digitization Equipment Meets Advanced International Standards,"" Keji Ribao, Oct , in FBIS-CST- - .",-0.035861295
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"""China To Use Italian Software to Interpret Imagery,"" Space News, - Mar , p. .",-0.013752103
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Two other Chinese organizations involved in the project include China's Research Institute for Surveying and Mapping and the National Laboratory of Resources and Environmental Information Systems.,0.058478463
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Peng Yiqi, a senior engineer at the National Remote Sensing Center, led the Chinese negotiations.",0.012557443
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China is working toward the development of data relay satellites (shuju zhongji weixing).,0.31016934
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China signed agreements with France ( ) and Chile ( ) for joint use of their ground stations.,0.12009149
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Seeking to transmit imagery directly to theater and field commanders, China's remote-sensing community has also begun to explore development of mobile remote-sensing ground stations.",0.20766824
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"On China's data relay satellite program, see Zhang Wanbin, ""Spaceflight Development Strategy: Mid-Long Term Development Strategy, Zhongguo Keji Luntan (Forum on Science and Technology), Nov , pp. - , in JPRS-CST- - ; and Cheng Yuejin, ""Information Transmission System of Data Relay Satellites,"" Space Technology Information Research, in CAMA, , Vol. , No. .",-0.027300883
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"On China's contracting for access to French, Kiribat, and Chilean ground stations, see Wang Chunyuan, China's Space Industry and Its Strategy of International Cooperation, Stanford University, July , p. .",0.012419246
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China has expressed interest in acquiring a foreign EAGLE VISION-like system from either US or French vendors.,0.16765223
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Its data rate is about - Mb/s. SWIET is the major tracking and telemetry systems provider for the Chinese space program.,0.03331776
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"""Luan Enjie Fuzongjingli Tan Hangtian Zhiliang,"" (Vice-General Manager Luan Enjie Discusses Space Quality), Zhongguo Hangtian Bao (China Space News), Mar , p. .",-0.041447934
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China's space community is assessed to have grossed more than $ million since the first commercial launch in .,0.4816268
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China signed agreements with Russia for cooperative development in ten areas, including surveillance systems, propulsion, joint design efforts, scientific personnel exchanges, space systems testing, and satellite navigation systems.",0.29314372
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Mei Lin, ""New PLA Methods of Operations Assessed.""",-0.01021596
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Chung Kung Yen Chiu, Nov , No. , pp. - , in FBIS/China, / / .",-0.0085213
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"PLAAF deficiencies are discussed at length in Kenneth W. Allen, Glenn Krumel, and Jonathan Pollack, China's Air Force Enters the st Century, RAND Project Air Force study, , p. - .",-0.19838598
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Liu Mingtao and Yang Chengjun, Gaojishu Zhanzhengzhong de Daodanzhan (Missile War In High Tech Warfare), Beijing: NDU Press, , pp. - ; and Wang Jixiang, ""Inspiration for Chinese Ballistic Missile Development From the Gulf War,"" Hangtian Keji Qingbao Yanjiu Baogao Xilie Wenzhai, Apr , pp. - in CAMA, Vol. , No. .",-0.0143800005
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"The $ , per missile figure is from Yuen Lin, ""Probing the Capability of Taiwan's Antiballistic Missiles,"" Hong Kong Kuang Chiao Ching, Aug , pp. -",-0.031051183
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Taiwan's FY defense budget totaled NT billion (US$ million), amounting to .",0.033706464
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"It should be noted that recent Beijing-affiliated publications out of Hong Kong have resurrected the issue of the DF- , a , -km-range system that is armed with a , -kg conventional warhead.",-0.0757151
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"However, author's discussions in Beijing during the - timeframe indicated that the DF- program had been cancelled in favor of the conventional DF- .",-0.20855045
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"The DF- was first discussed in John Wilson Lewis and Hua Di, ""China's Ballistic Missile Programs,"" International Security, Fall , pp. - .",-0.019797588
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Assigning the , -km system under the Luoyang base ( Unit) would have enabled strikes against all of Taiwan.",-0.4647034
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Lewis and Hua asserted that the DF- was intended to defend claims in the South China Sea.,-0.047109623
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Past PLA deployment practices indicate that deployment of theater missiles on Hainan Island is not likely since: a) theater missile units are unlikely to stray too far from their established base headquarters; and b) basing on Hainan renders the units vulnerable to strikes.,-0.39823997
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"For an upper range estimate of meters, see Lin Chien-hua, ""What Equipment Should Taiwan Use to Defense Itself,"" Taipei Tzu-li Wan-pao, Nov , p. , in FBIS-CHI- - .",-0.016956264
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Zhao Yunshan, Zhongguo Daodan Jiqi Zhanlue, Jiefangjun de Hexin Wuqi, (China's Missiles and Strategy: The PLA's Central Weapon), Hong Kong: Mirror Books, p. .",-0.06697987
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China Has Them Too!,"" Wen Wei Po, Jun , p.",0.033361427
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,See the DoD Report to Congress on the Security Situation in the Taiwan Strait.,-0.08872488
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"It should be noted, however, that foreign sources familiar with the PLA believe that the -km DF- has already been fielded by at least two PLA ground force group armies.",-0.03046105
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"The conversion of the DF- from a strictly nuclear mission to a conventional role was reported as early as in the Chinese journal, Guoji Hangkong (International Aviation).",0.003344778
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Initial indications of a terminally guided DF- are from discussions between Richard Fisher, who was a Senior Policy Analyst at the Heritage Foundation, and an engineer from CALT's Beijing Research Institute of Telemetry ( th Research Institute) at the Zhuhai Air Show.",0.02698629
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"John Wilson Lewis and Hua Di, ""China's Ballistic Missile Programs: Technologies, Strategies, and Goals,"" International Security, Fall (Vol. , No. ), p. .",-0.05556961
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,Development of VLSIC and LSIC technology is one of Beijing's highest priorities.,0.701604
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"In one effort, China has invested RMB .",0.17044002
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,China hopes to develop sub-micron VLSICs in the next few years.,0.49812216
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"As part of its Ninth Five-year Plan, China is constructing DGPS stations along its eastern coast, each with a range of km.",0.038871877
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Lianhe Zhanyi Di Erpaobing Zuozhan (PLA Second Artillery Joint Campaign Operations), unpublished manuscript, , p. .",-0.0927685
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"The document is believed to be an internal PLA academic paper, but its authenticity has not been established.",-0.15732776
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Yang Bingwei, from CALT's Beijing Institute of Special Electromachinery (Beijing Teshu Jidian Yanjiusuo), is the most prolific technical analyst on runway penetrators.",0.8290603
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See, for example, Li Xinyi, ""On the Air Supremacy and Air Defense of Taiwan and China: Is Taiwan An 'Unsinkable Aircraft Carrier'?,"" Taiwan de Junbei (Taiwan Military Preparations), Jul , pp. - , in FBIS-CHI- - .",-0.11608739
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Gong is from the Southwest Institute of Electronic Equipment (SWIEE), China's premier electronic warfare research entity.",0.049732912
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Swegle and Benford point out that the US, Russia, France, and the UK have HPM programs in addition to China.",-0.0002255328
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"CAEP's Institute of Applied Electronics, University of Electronic Science and Technology of China, and the Northwest Institute of Nuclear Technology in Xian are three of the most important organizations engaged in the research, design, and testing of Chinese HPM devices.",0.88873297
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The PRC appears to have mastered at least two HPM power sources--the FCG and vircator.,0.4298205
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Xu is from the Beijing Institute of Special Electromechanics; for discussions on negating hardened targets, see Xu Xiaocheng, ""Research on Penetration Depth of Projectiles Into Thick Concrete Targets,"" Qiangdu Yu Huanjing, ( ), pp. - .",-0.027220428
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"For references to FAE warheads, see Lianhe Zhanyi Di Erpaobing Zuozhan, p. ; Yuen Lin, ""The Taiwan Strait Is No Longer a Natural Barrier--PLA Strategies for Attacking Taiwan,"" Kuang Chiao Ching, Apr , in FBIS-CHI- - ; and Jane's Strategic Weapons Systems , section on the DF- .",-0.14510442
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Also see John Wilson Lewis and Hua Di, ""China's Ballistic Missile Programs: Technologies, Strategies, and Goals, in International Security, Vol. , No. (Fall ), p. .",-0.046867333
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The simulation was conducted by CASCs Beijing Optoelectronic Engineering General Design Department.,-0.025611162
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"David Fulghum, ""China Exploiting U.S. Patriot Secrets,"" Aviation Week and Space Technology, Jan , pp. -",-0.0954359
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Sheji (General Design of Missiles and Launch Vehicles), Beijing: Defense Industry Press, January .",-0.018141236
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Zhang is from the Beijing Electromechanical Engineering Design Department, also known as the CASC Fourth Systems Design Department.",0.0020987242
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Fazhan Woguo Feihang Daodan Shiye"" (Rapid Progress in Series Development of China's Cruise Missile Industry), Zhongguo Hangtian, Sep , pp. - .",-0.022656772
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Some have estimated that a developing country like China could acquire at least land-attack cruise missiles at a cost of $ million (i.e., $ , apiece).",-0.063734874
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The China's space and missile industry generally prefers to make incremental modifications to tried and trusted designs.,0.043964766
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Teal Group Corp., ""Chinese Anti-Ship Missiles,"" in World Missiles Briefing, Fairfax, Virginia, Teal Group Corp, May , p. .",-0.03147783
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Shirley Kan and Robert Shuey, ""China: Ballistic and Cruise Missiles,"" CRS Report for Congress, Mar ( - ), p. .",-0.01641906
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"For the Israeli connection, see ""Israel To Equip Chinese Cruise Missile With Penetrator Warhead,"" Flight International, - Feb , p. .",-0.16597436
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Undated China Precision Machinery Import & Export Corporation marketing brochure, ""C- W Coast- to-Ship Missile System.""",-0.24541542
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"According to Chinese aerospace publications, the US Tomahawk Land-Attack Missile (TLAM) B utilizes a turbojet engine and has a range of km.",-0.007058095
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,A turbofan engine (woshan fadongji) could significantly enhance the range of China's land-attack cruise missiles.,0.54011464
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"China's aviation industry has produced turbofan engines since the s. The WS- , a variant of the Rolls-Royce Spey Mk engine, is used to power the H- fighter- bomber.",0.012173206
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See Jason Glashow and Theresa Hitchens, ""China Speeds Development of Missile With Taiwan Range,"" Defense News, - Mar , p. ; and Duncan Lennox, ""China: Offensive Weapons,"" Jane's Air-Launched Weapons, Surrey, United Kingdom, Jane's Information Group, .",-0.13327345
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"There are also strong indications that SAST's system engineering organization, the Shanghai Institute of Electro-Mechanical Engineering, is carrying out preliminary R&D on a long-range, air-to-air, antiradiation missile for targeting airborne early warning platforms, such as the US E- AWACS or Taiwan's E- Ts.",0.15058348
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,At least one Second Academy entity that has conducted work on antiradiation missile-seeker technology is the Beijing Institute of Remote Sensing Equipment (probably the CASC th Research Institute).,0.054108888
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Jane's Strategic Weapons Systems, , People's Republic of China; Jane's Air-To-Ground Missile Programs.",-0.11617143
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Chinese engineers note the Kh- P has both long-range (i.e., km) air-to-air and air-to-ground variants.",0.029137067
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Lu is from Third Academy's Beijing Institute of Special Machinery, which is responsible cruise missile launching technology.",-0.021177247
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The author is from the Beijing Institute for Electromechanical Engineering.,0.011847444
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"he Bingxing Duoji Xitong Zai Xunhang Daodanzhong de Yingyong,"" (Application of Combined Navigation Systems on Cruise Missiles) in Hangtian Qingbao Yanjiu (China Information Research), ( ), pp. - .",-0.024337903
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"One of China's first research projects on digital image processing, written by Sun Zhongkang and Shen Zhenkang, was published by the PLA National Defense University in .",0.11577258
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,The PLA likely has been developing an imagery library that could support DSMAC targeting for several years.,0.12544724
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,One Taiwan source explicitly asserts land-attack cruise missiles will be assigned to the Second Artillery.,-0.063265964
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Li Weiliang, ""Jiang Zemin dao Beijing Fangzhen Zhongxin Zhouyan"" (Jiang Zemin Inspects Beijing Simulation Center), Zhongguo Hangtian Bao, Jan , p. ; Li Li, ""Chinese Simulation Technology Among Leaders Worldwide,"" Liaowang Zhoukan, Aug , pp. - , in JPRS-CST- - .",-0.026490498
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,American aerospace representatives who have been allowed access have remarked that the CASC Beijing Simulation Center is very close in capabilities to Western simulation facilities.,0.5827868
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"If the Chinese are looking to develop a , -km missile, the Russian , -km-range AS- could be used as a model.",0.0051197484
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"See ""Russian Missile Assistance to China,"" Flight International, Aug .",-0.08342076
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Undated brochure, ""Xikai (Zhongguo) Guangxue Jishu Youxian Gongsi,"" (Seek China Optical Technology Company).",-0.016470946
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Lu is from the Third Academy's Beijing Institute of Special Machinery, responsible for cruise missile launchers.",-0.064908795
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"General Second Artillery organizational information is drawn from numerous sources, to include open and internal (junnei) Chinese publications and from discussions while assigned as the assistant air attache in Beijing, China, from to .",0.023796452
Bill Clinton,1999,Democratic,Director of Central Intelligence (DCI),George Tenet,2000: China and Weapons of Mass Destruction: Implications for the United States,"Also see PLA Directory of Personalities, USDLO Hong Kong, , pp. - ; Bill Gertz, ""New Chinese Missiles Target All of East Asia,"" Washington Times, Jul , p. ; Hisashi Fujii, ""Facts Concerning China's Nuclear Forces,"" Gunji Kenkyu, Nov , in FBIS-CHI- - ; ""Guangrong Bang"" (Outstanding Units),"" Flying Eagle (Changying), Nov ; ""Guangrong Bang"" (Outstanding Units), Flying Eagle, May ; Lewis and Xue, p. footnote; and Nuclear Weapons Databook, Vol. , pp. - .",-0.06737585
